qc_id,id,pozo_nro,estado,imagen,icon_url
"0","75",Z-75,"1",,./0.png
"1","74",Z-74,"1",,./0.png
"2","73",Z-73,"1",,./0.png
"3","76",Z-76,"1",,./0.png
"4","72",Z-72,"1",,./0.png
"5","71",Z-71,"1",F:\imagenes\fachada municipio.JPG,./0.png
"6","70",Z-70,"1",F:\COPIA ARCHIVOS\Mi PC Fija\ZONDA-CFI\CFI-Informe Final\Documentos\caratula.doc,./0.png
"7","66",Z-66,"1",F:\COPIA ARCHIVOS\Mi PC Fija\ZONDA-CFI\CFI-Informe Final\Redes de Servicios\red de pozos.xls,./0.png
"8","67",Z-67,"1",,./0.png
"9","68",Z-68,"1",,./0.png
"10","64",Z-64,"1",,./0.png
"11","58",Z-58,"1",,./0.png
"12","59",Z-59,"1",,./0.png
"13","60",Z-60,"1",,./0.png
"14","69",Z-69,"1",,./0.png
"15","57",Z-57,"1",,./0.png
"16","54",Z-54,"1",,./0.png
"17","62",Z-62,"1",,./0.png
"18","61",Z-61,"1",,./0.png
"19","55",Z-55,"1",,./0.png
"20","51",Z-51,"1",,./0.png
"21","52",Z-52,"1",,./0.png
"22","46",Z-46,"1",F:\Imagenes\secccanal15.bmp,./0.png
"23","41",Z-41,,,./0.png
"24","34",Z-34,,,./0.png
"25","40",Z-40,,,./0.png
"26","37",Z-37,,,./0.png
"27","29",Z-29,,,./0.png
"28","26",Z-26,,,./0.png
"29","25",Z-25,,,./0.png
"30","22",Z-22,,,./0.png
"31","21",Z-21,,,./0.png
"32","18",Z-18,,,./0.png
"33","39",Z-39,,,./0.png
"34","30",Z-30,,,./0.png
"35","24",Z-24,,,./0.png
"36","20",Z-20,,,./0.png
"37","14",Z-14,,,./0.png
"38","11",Z-11,,,./0.png
"39","49",Z-49,"1",,./0.png
"40","42",Z-42,,,./0.png
"41","35",Z-35,,,./0.png
"42","45",Z-45,"1",,./0.png
"43","32",Z-32,,,./0.png
"44","33",Z-33,,,./0.png
"45","27",Z-27,,,./0.png
"46","17",Z-17,,,./0.png
"47","12",Z-12,,,./0.png
"48","8",Z-08,,,./0.png
"49","5",Z-05,,,./0.png
"50","6",Z-06,,,./0.png
"51","1",Z-01,,,./0.png
"52","2",Z-02,,,./0.png
"53","7",Z-07,,,./0.png
"54","3",Z-03,,,./0.png
"55","19",Z-19,,,./0.png
"56","15",Z-15,,,./0.png
"57","9",Z-09,,,./0.png
"58","13",Z-13,,,./0.png
"59","4",Z-04,,,./0.png
"60","31",Z-31,,,./0.png
"61","23",Z-23,,,./0.png
"62","16",Z-16,,,./0.png
"63","50",Z-50,"1",,./0.png
"64","44",Z-44,,,./0.png
"65","38",Z-38,,,./0.png
"66","28",Z-28,,,./0.png
"67","48",Z-48,"1",,./0.png
"68","43",Z-43,,,./0.png
"69","36",Z-36,,,./0.png
"70","47",Z-47,"1",,./0.png
"71","63",Z-63,"1",,./0.png
"72","56",Z-56,"1",,./0.png
"73","65",Z-65,"1",,./0.png
"74","10",Z-10,,,./0.png
"75","53",Z-53,"1",,./0.png
